p,tempo
1,26.83081245800713
2,15.830575707979733
3,10.465825124992989
4,8.42260737498873
5,7.358004666981287
6,5.7266157919948455
7,7.67482604199904
8,5.413484499993501
9,4.781807332998142
10,4.614215040986892
11,5.461950458004139
12,5.339526125026168
13,4.090655707987025
14,4.065909583005123
15,4.096055667003384
16,4.076816291984869
17,4.248543875000905
18,4.204084375000093
19,4.1471719999972265
20,4.0499417500104755
21,4.2379700410238
22,4.262131124996813
23,4.160392624995438
24,4.330997499986552
